Capacity,DaysShowedInWeek,Index,LastDate,Lifetime,Movie,OccAtWeek,OccPer,OtherReleasesInWeek,ReleaseDate,ShowsInWeek,WeekSinceRelease
3100,5,0,2015-12-17,2,0001000001,2494,0.8045161290322581,8,2015-12-04,10,0
3390,7,1,2015-12-17,2,0001000001,1932,0.5699115044247788,4,2015-12-04,14,1
860,2,2,2015-12-17,2,0001000001,222,0.2581395348837209,4,2015-12-04,4,2
110,1,3,2016-01-06,5,0001000002,59,0.5363636363636364,8,2015-12-04,1,0
720,6,4,2016-01-06,5,0001000002,630,0.875,7,2015-12-04,6,3
1320,7,5,2016-01-06,5,0001000002,980,0.7424242424242424,7,2015-12-04,11,4
120,1,6,2016-01-06,5,0001000002,34,0.2833333333333333,6,2015-12-04,1,5
2630,5,7,2016-01-13,6,0001000003,1725,0.655893536121673,8,2015-12-04,14,0
4590,7,8,2016-01-13,6,0001000003,3479,0.7579520697167756,4,2015-12-04,28,1
1955,7,9,2016-01-13,6,0001000003,1230,0.629156010230179,4,2015-12-04,13,2
1048,7,10,2016-01-13,6,0001000003,798,0.7614503816793893,7,2015-12-04,8,3
1847,7,11,2016-01-13,6,0001000003,1116,0.6042230644288035,7,2015-12-04,10,4
1102,7,12,2016-01-13,6,0001000003,853,0.7740471869328494,6,2015-12-04,9,5
120,1,13,2016-01-13,6,0001000003,96,0.8,11,2015-12-04,1,6
2860,5,14,2016-01-13,6,0001000004,1540,0.5384615384615384,8,2015-12-04,15,0
3349,7,15,2016-01-13,6,0001000004,2369,0.7073753359211705,4,2015-12-04,16,1
1537,7,16,2016-01-13,6,0001000004,961,0.6252439817826936,4,2015-12-04,9,2
1397,7,17,2016-01-13,6,0001000004,851,0.6091624910522548,7,2015-12-04,11,3
862,7,18,2016-01-13,6,0001000004,645,0.7482598607888631,7,2015-12-04,7,4
895,7,19,2016-01-13,6,0001000004,643,0.7184357541899441,6,2015-12-04,7,5
131,1,20,2016-01-13,6,0001000004,99,0.7557251908396947,11,2015-12-04,1,6
440,4,21,2015-12-23,3,0001000005,335,0.7613636363636364,8,2015-12-04,4,0
1040,7,22,2015-12-23,3,0001000005,926,0.8903846153846153,4,2015-12-04,9,1
890,7,23,2015-12-23,3,0001000005,671,0.7539325842696629,4,2015-12-04,8,2
110,1,24,2015-12-23,3,0001000005,101,0.9181818181818182,7,2015-12-04,1,3
110,1,25,2015-12-04,0,0001000006,41,0.3727272727272728,8,2015-12-04,1,0
